Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,1stDOpp,Rush,Pass,Pen
1054,JAX,2015,2015-10-25,8:35,1:35,,BUF,7,7,Sun,W 34-31,,26,10,13,3
1055,JAX,2015,2015-12-06,1:02,12:02,@,TEN,13,12,Sun,L 39-42,,26,9,13,4
1056,JAX,2017,2017-12-24,4:05,1:05,@,SFO,16,15,Sun,L 33-44,,26,7,15,4
1057,JAX,2018,2018-10-07,1:00,12:00,@,KAN,5,5,Sun,L 14-30,,26,6,17,3
1058,JAX,2020,2020-12-20,1:00,1:00,@,BAL,15,14,Sun,L 14-40,,26,11,13,2
1059,KAN,2002,2002-10-27,1:00,12:00,,OAK,8,8,Sun,W 20-10,,26,0,0,0
1060,KAN,2002,2002-12-28,5:15,2:15,@,OAK,17,16,Sat,L 0-24,,26,0,0,0
1061,KAN,2003,2003-12-07,4:15,2:15,@,DEN,14,13,Sun,L 27-45,,26,0,0,0
1062,KAN,2005,2005-10-16,1:00,12:00,,WAS,6,5,Sun,W 28-21,,26,0,0,0
1063,KAN,2006,2006-12-03,1:03,1:03,@,CLE,13,12,Sun,L 28-31,OT,26,0,0,0
1064,KAN,2008,2008-12-21,1:00,12:00,,MIA,16,15,Sun,L 31-38,,26,0,0,0
1065,KAN,2009,2009-11-29,4:05,1:05,@,SDG,12,11,Sun,L 14-43,,26,0,0,0
1066,KAN,2013,2013-12-15,4:05,1:05,@,OAK,15,14,Sun,W 56-31,,26,8,12,6
1067,KAN,2015,2015-09-28,8:30,7:30,@,GNB,3,3,Mon,L 28-38,,26,6,15,5
1068,KAN,2016,2017-01-01,4:25,1:25,@,SDG,17,16,Sun,W 37-27,,26,8,16,2
1069,KAN,2018,2018-09-23,1:00,12:00,,SFO,3,3,Sun,W 38-27,,26,11,12,3
1070,KAN,2018,2018-11-04,1:00,1:00,@,CLE,9,9,Sun,W 37-21,,26,6,17,3
1071,MIA,2011,2011-12-24,1:02,1:02,@,NWE,16,15,Sat,L 24-27,,26,10,16,0
1072,MIA,2014,2014-12-07,1:02,1:02,,BAL,14,13,Sun,L 13-28,,26,11,15,0
1073,MIA,2015,2015-12-20,4:25,1:25,@,SDG,15,14,Sun,L 14-30,,26,7,16,3
1074,MIA,2018,2018-09-30,1:00,1:00,@,NWE,4,4,Sun,L 7-38,,26,10,13,3
1075,MIA,2018,2018-11-25,4:25,1:00,@,IND,12,11,Sun,L 24-27,,26,6,17,3
1076,MIA,2020,2020-10-04,1:00,1:00,,SEA,4,4,Sun,L 23-31,,26,8,17,1
1077,MIA,2020,2020-11-08,4:25,2:25,@,ARI,9,8,Sun,W 34-31,,26,6,17,3
1078,MIN,2001,2001-10-28,1:01,1:01,@,TAM,7,7,Sun,L 14-41,,26,0,0,0
1079,MIN,2002,2002-09-15,4:15,3:15,,BUF,2,2,Sun,L 39-45,OT,26,0,0,0
1080,MIN,2002,2002-11-10,1:00,12:00,,NYG,10,9,Sun,L 20-27,,26,0,0,0
1081,MIN,2003,2003-10-26,1:00,12:00,,NYG,8,7,Sun,L 17-29,,26,0,0,0
1082,MIN,2003,2003-11-09,4:05,1:05,@,SDG,10,9,Sun,L 28-42,,26,0,0,0
1083,MIN,2004,2004-11-08,9:00,9:00,@,IND,9,8,Mon,L 28-31,,26,0,0,0
1084,MIN,2004,2004-12-12,1:00,12:00,,SEA,14,13,Sun,L 23-27,,26,0,0,0
1085,MIN,2004,2004-12-24,3:00,2:00,,GNB,16,15,Fri,L 31-34,,26,0,0,0
1086,MIN,2005,2005-09-18,1:03,1:03,@,CIN,2,2,Sun,L 8-37,,26,0,0,0
1087,MIN,2013,2013-10-27,8:30,7:30,,GNB,8,7,Sun,L 31-44,,26,11,13,2
1088,MIN,2019,2019-10-20,1:00,1:00,@,DET,7,7,Sun,W 42-30,,26,1,21,4
1089,NOR,2000,2000-12-24,1:02,12:02,,STL,17,16,Sun,L 21-26,,26,0,0,0
1090,NOR,2001,2001-11-25,4:05,4:05,@,NWE,11,10,Sun,L 17-34,,26,0,0,0
1091,NOR,2002,2002-10-20,1:03,12:03,,SFO,7,7,Sun,W 35-27,,26,0,0,0
1092,NOR,2007,2007-11-11,1:02,12:02,,STL,10,9,Sun,L 29-37,,26,0,0,0
1093,NOR,2012,2012-10-21,1:02,1:02,@,TAM,7,6,Sun,W 35-28,,26,5,18,3
1094,NOR,2013,2013-10-13,4:25,4:25,@,NWE,6,6,Sun,L 27-30,,26,8,15,3
1095,NOR,2016,2016-09-26,8:30,7:30,,ATL,3,3,Mon,L 32-45,,26,11,13,2
1096,NOR,2016,2016-12-18,4:05,2:05,@,ARI,15,14,Sun,W 48-41,,26,7,17,2
1097,NOR,2017,2017-12-07,8:25,8:25,@,ATL,14,13,Thu,L 17-20,,26,6,11,9
1098,NOR,2018,2018-09-09,1:00,12:00,,TAM,1,1,Sun,L 40-48,,26,5,17,4
1099,NOR,2018,2018-12-23,4:25,3:25,,PIT,16,15,Sun,W 31-28,,26,2,21,3
1100,NOR,2019,2019-09-22,4:25,1:25,@,SEA,3,3,Sun,W 33-27,,26,5,18,3
1101,NOR,2019,2019-11-24,1:00,12:00,,CAR,12,11,Sun,W 34-31,,26,6,15,5
1102,NOR,2021,2021-10-10,1:00,1:00,@,WAS,5,5,Sun,W 33-22,,26,11,11,4
1103,NWE,2000,2000-10-01,4:06,2:06,@,DEN,5,5,Sun,W 28-19,,26,0,0,0
1104,NWE,2001,2001-11-18,8:35,8:35,,STL,10,10,Sun,L 17-24,,26,0,0,0
1105,NWE,2002,2002-11-24,1:02,1:02,,MIN,12,11,Sun,W 24-17,,26,0,0,0
1106,NWE,2003,2003-10-12,1:02,1:02,,NYG,6,6,Sun,W 17-6,,26,0,0,0
1107,NWE,2003,2003-11-30,1:00,1:00,@,IND,13,12,Sun,W 38-34,,26,0,0,0
1108,NWE,2004,2004-12-12,1:02,1:02,,CIN,14,13,Sun,W 35-28,,26,0,0,0
1109,NWE,2005,2005-10-02,1:02,1:02,,SDG,4,4,Sun,L 17-41,,26,0,0,0
1110,NWE,2010,2010-09-12,1:02,1:02,,CIN,1,1,Sun,W 38-24,,26,0,0,0
1111,NWE,2010,2010-12-19,8:30,8:30,,GNB,15,14,Sun,W 31-27,,26,0,0,0
1112,NWE,2011,2011-12-04,1:02,1:02,,IND,13,12,Sun,W 31-24,,26,5,21,0
1113,NWE,2011,2012-01-01,1:02,1:02,,BUF,17,16,Sun,W 49-21,,26,7,16,3
1114,NWE,2012,2012-10-21,4:25,4:25,,NYJ,7,7,Sun,W 29-26,OT,26,7,16,3
1115,NWE,2013,2013-09-29,8:30,8:30,@,ATL,4,4,Sun,W 30-23,,26,3,20,3
1116,NWE,2014,2014-09-29,8:31,7:31,@,KAN,4,4,Mon,L 14-41,,26,10,15,1
1117,NWE,2014,2014-11-02,4:25,4:25,,DEN,9,9,Sun,W 43-21,,26,2,20,4
1118,NWE,2017,2017-09-07,8:30,8:30,,KAN,1,1,Thu,L 27-42,,26,8,17,1
1119,NWE,2017,2017-10-05,8:25,8:25,@,TAM,5,5,Thu,W 19-14,,26,5,17,4
1120,NWE,2018,2018-10-04,8:20,8:20,,IND,5,5,Thu,W 38-24,,26,5,20,1
1121,NWE,2019,2019-11-03,8:20,8:20,@,BAL,9,9,Sun,L 20-37,,26,11,11,4
1122,NWE,2019,2019-12-29,1:00,1:00,,MIA,17,16,Sun,L 24-27,,26,5,19,2
1123,NWE,2020,2020-10-25,4:25,4:25,,SFO,7,6,Sun,L 6-33,,26,13,13,0
1124,NWE,2020,2020-12-20,1:00,1:00,@,MIA,15,14,Sun,L 12-22,,26,15,10,1
1125,NYG,2003,2003-12-14,8:36,7:36,@,NOR,15,14,Sun,L 7-45,,26,0,0,0
1126,NYG,2006,2006-09-24,4:16,1:16,@,SEA,3,3,Sun,L 30-42,,26,0,0,0
1127,NYG,2010,2010-11-28,1:02,1:02,,JAX,12,11,Sun,W 24-20,,26,0,0,0
1128,NYG,2011,2011-10-09,1:04,1:04,,SEA,5,5,Sun,L 25-36,,26,7,14,5
1129,NYG,2013,2013-10-10,8:29,7:29,@,CHI,6,6,Thu,L 21-27,,26,7,17,2
1130,NYG,2017,2017-10-22,4:25,4:25,,SEA,7,7,Sun,L 7-24,,26,4,19,3
1131,NYG,2020,2021-01-03,1:00,1:00,,DAL,17,16,Sun,W 23-19,,26,8,16,2
1132,NYG,2021,2021-10-10,4:25,3:25,@,DAL,5,5,Sun,L 20-44,,26,10,13,3
1133,NYG,2021,2021-12-12,4:05,1:05,@,LAC,14,13,Sun,L 21-37,,26,10,15,1
1134,NYJ,2001,2001-10-07,4:05,4:05,@,BUF,4,4,Sun,W 42-36,,26,0,0,0
1135,NYJ,2002,2002-09-08,1:04,1:04,@,BUF,1,1,Sun,W 37-31,OT,26,0,0,0
1136,NYJ,2005,2005-12-26,9:09,9:09,,NWE,16,15,Mon,L 21-31,,26,0,0,0
1137,NYJ,2006,2006-09-24,1:02,1:02,@,BUF,3,3,Sun,W 28-20,,26,0,0,0
1138,NYJ,2006,2006-10-01,1:02,1:02,,IND,4,4,Sun,L 28-31,,26,0,0,0
1139,NYJ,2007,2007-10-21,4:05,4:05,@,CIN,7,7,Sun,L 31-38,,26,0,0,0
1140,NYJ,2008,2008-11-13,8:15,8:15,@,NWE,11,10,Thu,W 34-31,OT,26,0,0,0
1141,NYJ,2011,2011-10-09,4:15,4:15,@,NWE,5,5,Sun,L 21-30,,26,7,15,4
1142,NYJ,2012,2012-09-30,1:03,1:03,,SFO,4,4,Sun,L 0-34,,26,16,7,3
1143,NYJ,2012,2012-10-21,4:25,4:25,@,NWE,7,7,Sun,L 26-29,OT,26,6,17,3
1144,NYJ,2013,2013-10-07,8:40,8:40,@,ATL,5,5,Mon,W 30-28,,26,3,20,3
1145,NYJ,2016,2016-11-27,4:25,4:25,,NWE,12,11,Sun,L 17-22,,26,6,18,2
1146,NYJ,2018,2018-10-07,1:00,1:00,,DEN,5,5,Sun,W 34-16,,26,5,19,2
1147,NYJ,2019,2019-10-13,4:25,4:25,,DAL,6,5,Sun,W 24-22,,26,7,15,4
1148,NYJ,2020,2020-10-25,1:00,1:00,,BUF,7,7,Sun,L 10-18,,26,9,16,1
1149,NYJ,2021,2021-11-14,1:00,1:00,,BUF,10,9,Sun,L 17-45,,26,10,15,1
1150,NYJ,2021,2021-12-05,1:00,1:00,,PHI,13,12,Sun,L 18-33,,26,9,13,4
1151,NYJ,2021,2022-01-02,1:00,1:00,,TAM,17,16,Sun,L 24-28,,26,4,21,1
1152,TEN,2002,2002-09-22,1:03,12:03,,CLE,3,3,Sun,L 28-31,OT,26,0,0,0
1153,TEN,2004,2004-12-25,8:35,7:35,,DEN,16,15,Sat,L 16-37,,26,0,0,0
1154,TEN,2005,2005-12-18,1:03,12:03,,SEA,15,14,Sun,L 24-28,,26,0,0,0
1155,TEN,2006,2006-09-17,4:15,1:15,@,SDG,2,2,Sun,L 7-40,,26,0,0,0
1156,TEN,2006,2006-10-29,1:02,12:02,,HOU,8,7,Sun,W 28-22,,26,0,0,0
1157,TEN,2010,2010-09-26,1:02,1:02,@,NYG,3,3,Sun,W 29-10,,26,0,0,0
1158,TEN,2010,2010-12-19,1:02,12:02,,HOU,15,14,Sun,W 31-17,,26,0,0,0
1159,TEN,2011,2011-10-09,1:02,1:02,@,PIT,5,5,Sun,L 17-38,,26,9,15,2
1160,TEN,2014,2014-09-14,1:03,12:03,,DAL,2,2,Sun,L 10-26,,26,13,10,3
1161,TEN,2014,2014-11-23,1:02,1:02,@,PHI,12,11,Sun,L 24-43,,26,7,18,1
1162,TEN,2015,2015-10-18,1:03,12:03,,MIA,6,5,Sun,L 10-38,,26,11,14,1
1163,TEN,2016,2016-10-23,1:02,12:02,,IND,7,7,Sun,L 26-34,,26,7,16,3
1164,TEN,2018,2018-11-18,1:00,1:00,@,IND,11,10,Sun,L 10-38,,26,8,15,3
1165,TEN,2020,2020-11-12,8:20,7:20,,IND,10,9,Thu,L 17-34,,26,11,14,1
1166,TEN,2020,2020-12-06,1:00,12:00,,CLE,13,12,Sun,L 35-41,,26,5,18,3
1167,TEN,2020,2021-01-03,4:25,3:25,@,HOU,17,16,Sun,W 41-38,,26,6,17,3
1168,PHI,2008,2008-11-09,8:23,8:23,,NYG,10,9,Sun,L 31-36,,26,0,0,0
1169,PHI,2014,2014-12-14,8:35,8:35,,DAL,15,14,Sun,L 27-38,,26,6,17,3
1170,PHI,2016,2016-10-16,1:03,1:03,@,WAS,6,5,Sun,L 20-27,,26,10,11,5
1171,PHI,2016,2016-10-30,8:31,7:31,@,DAL,8,7,Sun,L 23-29,OT,26,12,13,1
1172,PHI,2019,2019-10-13,1:00,3:00,@,MIN,6,6,Sun,L 20-38,,26,8,14,4
1173,PHI,2019,2019-12-01,1:00,1:00,@,MIA,13,12,Sun,L 31-37,,26,3,19,4
1174,PHI,2020,2020-12-20,4:05,2:05,@,ARI,15,14,Sun,L 26-33,,26,4,19,3
1175,PIT,2002,2002-10-27,1:02,1:02,@,BAL,8,7,Sun,W 31-18,,26,0,0,0
1176,PIT,2003,2003-10-26,1:02,1:02,,STL,8,7,Sun,L 21-33,,26,0,0,0
1177,PIT,2010,2010-11-14,8:30,8:30,,NWE,10,9,Sun,L 26-39,,26,0,0,0
1178,PIT,2013,2013-12-22,4:25,3:25,@,GNB,16,15,Sun,W 38-31,,26,11,12,3
1179,PIT,2014,2014-10-26,4:25,4:25,,IND,8,8,Sun,W 51-34,,26,2,17,7
1180,PIT,2015,2015-09-10,8:40,8:40,@,NWE,1,1,Thu,L 21-28,,26,5,19,2
1181,PIT,2017,2017-12-10,8:30,8:30,,BAL,14,13,Sun,W 39-38,,26,9,13,4
1182,PIT,2019,2019-09-22,4:25,1:25,@,SFO,3,3,Sun,L 20-24,,26,9,14,3
1183,OAK,2001,2001-10-14,8:30,7:30,@,IND,5,5,Sun,W 23-18,,26,0,0,0
1184,OAK,2001,2001-11-05,9:05,6:05,,DEN,8,7,Mon,W 38-28,,26,0,0,0
1185,OAK,2001,2001-11-11,8:36,5:36,@,SEA,9,8,Sun,L 27-34,,26,0,0,0
1186,OAK,2004,2004-11-21,4:05,1:05,,SDG,11,10,Sun,L 17-23,,26,0,0,0
1187,OAK,2005,2005-09-25,1:03,1:03,@,PHI,3,3,Sun,L 20-23,,26,0,0,0
1188,OAK,2007,2007-09-16,4:15,2:15,@,DEN,2,2,Sun,L 20-23,OT,26,0,0,0
1189,OAK,2007,2007-12-23,1:02,1:02,@,JAX,16,15,Sun,L 11-49,,26,0,0,0
1190,OAK,2009,2009-10-25,4:05,1:05,,NYJ,7,7,Sun,L 0-38,,26,0,0,0
1191,OAK,2011,2011-12-24,1:03,12:03,@,KAN,16,15,Sat,W 16-13,OT,26,7,14,5
1192,OAK,2012,2012-09-30,4:05,2:05,@,DEN,4,4,Sun,L 6-37,,26,11,14,1
1193,OAK,2017,2017-12-31,4:25,1:25,@,LAC,17,16,Sun,L 10-30,,26,9,15,2
1194,OAK,2019,2019-11-03,4:05,1:05,,DET,9,8,Sun,W 31-24,,26,6,16,4
1195,OAK,2019,2019-11-07,8:20,5:20,,LAC,10,9,Thu,W 26-24,,26,10,11,5
1196,OAK,2019,2019-12-08,4:25,1:25,,TEN,14,13,Sun,L 21-42,,26,10,15,1
1197,LVR,2020,2020-09-21,8:15,5:15,,NOR,2,2,Mon,W 34-24,,26,8,17,1
1198,LVR,2020,2020-11-08,4:05,1:05,@,LAC,9,8,Sun,W 31-26,,26,6,18,2
1199,STL,2002,2002-12-22,4:05,1:05,@,SEA,16,15,Sun,L 10-30,,26,0,0,0
1200,STL,2004,2004-10-03,8:38,5:38,@,SFO,4,4,Sun,W 24-14,,26,0,0,0
1201,STL,2004,2004-12-19,4:05,2:05,@,ARI,15,14,Sun,L 7-31,,26,0,0,0
1202,STL,2005,2005-10-09,1:02,12:02,,SEA,5,5,Sun,L 31-37,,26,0,0,0
1203,STL,2005,2005-11-27,1:03,12:03,@,HOU,12,11,Sun,W 33-27,OT,26,0,0,0
1204,STL,2009,2009-12-27,4:05,2:05,@,ARI,16,15,Sun,L 10-31,,26,0,0,0
1205,STL,2015,2015-10-04,4:25,1:25,@,ARI,4,4,Sun,W 24-22,,26,7,17,2
1206,LAR,2016,2016-10-02,4:25,1:25,@,ARI,4,4,Sun,W 17-13,,26,6,17,3
1207,BAL,2004,2004-09-26,1:02,1:02,@,CIN,3,3,Sun,W 23-9,,26,0,0,0
1208,BAL,2012,2012-09-16,1:03,1:03,@,PHI,2,2,Sun,L 23-24,,26,7,17,2
1209,BAL,2014,2014-10-05,1:03,1:03,@,IND,5,5,Sun,L 13-20,,26,6,19,1
1210,BAL,2014,2014-11-24,8:30,7:30,@,NOR,12,11,Mon,W 34-27,,26,3,20,3
1211,BAL,2018,2018-10-21,4:05,4:05,,NOR,7,7,Sun,L 23-24,,26,12,12,2
1212,BAL,2020,2020-11-22,1:00,1:00,,TEN,11,10,Sun,L 24-30,OT,26,8,16,2
1213,BAL,2021,2021-09-13,8:15,5:15,@,LVR,1,1,Mon,L 27-33,OT,26,6,17,3
1214,BAL,2021,2021-12-19,1:00,1:00,,GNB,15,14,Sun,L 30-31,,26,4,20,2
1215,SDG,2002,2002-10-20,4:05,1:05,@,OAK,7,7,Sun,W 27-21,OT,26,0,0,0
1216,SDG,2003,2003-11-16,4:05,2:05,@,DEN,11,10,Sun,L 8-37,,26,0,0,0
1217,SDG,2004,2005-01-02,4:15,1:15,,KAN,17,16,Sun,W 24-17,,26,0,0,0
1218,SDG,2007,2007-11-04,1:05,12:05,@,MIN,9,8,Sun,L 17-35,,26,0,0,0
1219,SDG,2009,2009-11-15,4:15,1:15,,PHI,10,9,Sun,W 31-23,,26,0,0,0
1220,SDG,2013,2013-09-09,10:25,7:25,,HOU,1,1,Mon,L 28-31,,26,5,19,2
1221,SDG,2013,2013-11-24,1:03,12:03,@,KAN,12,11,Sun,W 41-38,,26,6,16,4
1222,SDG,2016,2016-09-11,1:05,12:05,@,KAN,1,1,Sun,L 27-33,OT,26,6,19,1
1223,SDG,2016,2017-01-01,4:25,1:25,,KAN,17,16,Sun,L 27-37,,26,5,17,4
1224,LAC,2017,2017-10-01,4:05,1:05,,PHI,4,4,Sun,L 24-26,,26,12,11,3
1225,LAC,2019,2019-10-27,1:00,12:00,@,CHI,8,8,Sun,W 17-16,,26,12,9,5
1226,LAC,2021,2021-12-16,8:20,5:20,,KAN,15,14,Thu,L 28-34,OT,26,4,20,2
1227,LAC,2021,2021-12-26,1:00,12:00,@,HOU,16,15,Sun,L 29-41,,26,9,14,3
1228,SEA,2000,2000-10-08,4:15,4:15,@,CAR,6,6,Sun,L 3-26,,26,0,0,0
1229,SEA,2005,2005-10-02,1:03,1:03,@,WAS,4,4,Sun,L 17-20,OT,26,0,0,0
1230,SEA,2009,2009-11-01,1:03,12:03,@,DAL,8,7,Sun,L 17-38,,26,0,0,0
1231,SEA,2010,2010-11-21,4:05,3:05,@,NOR,11,10,Sun,L 19-34,,26,0,0,0
1232,SEA,2012,2012-10-14,4:04,1:04,,NWE,6,6,Sun,W 24-23,,26,5,20,1
1233,SEA,2012,2012-10-28,1:03,1:03,@,DET,8,8,Sun,L 24-28,,26,3,23,0
1234,SEA,2014,2014-09-14,4:05,1:05,@,SDG,2,2,Sun,L 21-30,,26,7,17,2
1235,SEA,2015,2015-11-29,4:26,1:26,,PIT,12,11,Sun,W 39-30,,26,6,18,2
1236,SEA,2017,2017-09-10,4:25,3:25,@,GNB,1,1,Sun,L 9-17,,26,8,16,2
1237,SEA,2018,2018-11-25,1:00,1:00,@,CAR,12,11,Sun,W 30-27,,26,10,13,3
1238,SEA,2019,2019-12-08,8:20,5:20,@,LAR,14,13,Sun,L 12-28,,26,10,16,0
1239,SEA,2020,2020-12-20,1:00,1:00,@,WAS,15,14,Sun,W 20-15,,26,8,16,2
1240,SEA,2021,2021-12-26,4:05,1:05,,CHI,16,15,Sun,L 24-25,,26,9,14,3
1241,SFO,2000,2000-10-22,1:02,1:02,@,CAR,8,8,Sun,L 16-34,,26,0,0,0
1242,SFO,2002,2002-11-17,4:05,1:05,@,SDG,11,10,Sun,L 17-20,OT,26,0,0,0
1243,SFO,2004,2004-11-07,4:05,1:05,,SEA,9,8,Sun,L 27-42,,26,0,0,0
1244,SFO,2005,2005-09-11,4:15,1:15,,STL,1,1,Sun,W 28-25,,26,0,0,0
1245,SFO,2005,2005-09-25,4:05,1:05,,DAL,3,3,Sun,L 31-34,,26,0,0,0
1246,SFO,2007,2007-10-28,4:17,1:17,,NOR,8,7,Sun,L 10-31,,26,0,0,0
1247,SFO,2009,2009-11-22,1:02,12:02,@,GNB,11,10,Sun,L 24-30,,26,0,0,0
1248,SFO,2014,2014-09-07,4:25,3:25,@,DAL,1,1,Sun,W 28-17,,26,8,14,4
1249,SFO,2014,2014-12-28,4:25,1:25,,ARI,17,16,Sun,W 20-17,,26,7,17,2
1250,SFO,2015,2015-11-29,4:05,1:05,,ARI,12,11,Sun,L 13-19,,26,5,14,7
1251,SFO,2015,2015-12-27,1:03,1:03,@,DET,16,15,Sun,L 17-32,,26,8,15,3
1252,SFO,2016,2016-09-18,1:03,1:03,@,CAR,2,2,Sun,L 27-46,,26,8,15,3
1253,SFO,2016,2016-10-02,4:25,1:25,,DAL,4,4,Sun,L 17-24,,26,12,11,3
1254,SFO,2016,2016-11-13,4:25,2:25,@,ARI,10,9,Sun,L 20-23,,26,4,17,5
1255,SFO,2017,2017-09-21,8:25,5:25,,LAR,3,3,Thu,L 39-41,,26,7,14,5
1256,SFO,2018,2018-10-15,8:15,7:15,@,GNB,6,6,Mon,L 30-33,,26,8,17,1
1257,TAM,2005,2005-11-20,1:05,1:05,@,ATL,11,10,Sun,W 30-27,,26,0,0,0
1258,TAM,2008,2008-12-08,8:36,8:36,@,CAR,14,13,Mon,L 23-38,,26,0,0,0
1259,TAM,2010,2010-11-07,1:02,1:02,@,ATL,9,8,Sun,L 21-27,,26,0,0,0
1260,TAM,2010,2010-12-19,1:03,1:03,,DET,15,14,Sun,L 20-23,OT,26,0,0,0
1261,TAM,2011,2011-12-04,1:02,1:02,,CAR,13,12,Sun,L 19-38,,26,12,10,4
1262,TAM,2013,2013-11-03,4:05,1:05,@,SEA,9,8,Sun,L 24-27,OT,26,12,11,3
1263,TAM,2014,2014-09-18,8:26,8:26,@,ATL,3,3,Thu,L 14-56,,26,7,17,2
1264,TAM,2015,2015-12-13,1:02,1:02,,NOR,14,13,Sun,L 17-24,,26,7,16,3
1265,TAM,2018,2018-09-09,1:00,12:00,@,NOR,1,1,Sun,W 48-40,,26,5,19,2
1266,TAM,2018,2018-10-14,1:00,1:00,@,ATL,6,5,Sun,L 29-34,,26,6,19,1
1267,TAM,2020,2020-11-29,4:25,4:25,,KAN,12,12,Sun,L 24-27,,26,5,19,2
1268,TAM,2021,2021-10-31,4:25,3:25,@,NOR,8,8,Sun,L 27-36,,26,8,12,6
1269,WAS,2013,2013-09-09,7:10,7:10,,PHI,1,1,Mon,L 27-33,,26,14,11,1
1270,WAS,2016,2016-10-02,1:05,1:05,,CLE,4,4,Sun,W 31-20,,26,8,16,2
1271,ATL,2000,2000-10-22,1:05,1:05,,NOR,8,8,Sun,L 19-21,,25,0,0,0
1272,ATL,2002,2002-12-15,1:03,1:03,,SEA,15,14,Sun,L 24-30,OT,25,0,0,0
1273,ATL,2003,2003-12-20,1:32,1:32,@,TAM,16,15,Sat,W 30-28,,25,0,0,0
1274,ATL,2005,2005-11-13,4:15,4:15,,GNB,10,9,Sun,L 25-33,,25,0,0,0
1275,ATL,2006,2006-12-03,1:03,1:03,@,WAS,13,12,Sun,W 24-14,,25,0,0,0
1276,ATL,2008,2008-11-09,1:03,1:03,,NOR,10,9,Sun,W 34-20,,25,0,0,0
1277,ATL,2012,2012-12-22,8:40,8:40,@,DET,16,15,Sat,W 31-18,,25,4,21,0
1278,ATL,2013,2013-11-10,1:03,1:03,,SEA,10,9,Sun,L 10-33,,25,12,12,1
1279,ATL,2015,2015-10-15,8:26,7:26,@,NOR,6,6,Thu,L 21-31,,25,7,16,2
1280,ATL,2015,2015-12-06,1:03,1:03,@,TAM,13,12,Sun,L 19-23,,25,11,10,4
1281,ATL,2016,2016-11-13,1:00,1:00,@,PHI,10,10,Sun,L 15-24,,25,12,12,1
1282,ATL,2017,2017-10-22,8:30,8:30,@,NWE,7,6,Sun,L 7-23,,25,9,13,3
1283,ATL,2018,2018-12-02,1:00,1:00,,BAL,13,12,Sun,L 16-26,,25,12,9,4
1284,ATL,2021,2021-12-05,1:00,1:00,,TAM,13,12,Sun,L 17-30,,25,2,22,1
1285,BUF,2004,2004-11-14,8:36,8:36,@,NWE,10,9,Sun,L 6-29,,25,0,0,0
1286,BUF,2004,2004-12-05,1:03,1:03,@,MIA,13,12,Sun,W 42-32,,25,0,0,0
1287,BUF,2009,2009-10-04,4:05,4:05,@,MIA,4,4,Sun,L 10-38,,25,0,0,0
1288,BUF,2010,2010-09-26,1:02,1:02,@,NWE,3,3,Sun,L 30-38,,25,0,0,0
1289,BUF,2010,2010-10-03,1:02,1:02,,NYJ,4,4,Sun,L 14-38,,25,0,0,0
1290,BUF,2011,2011-10-02,1:03,1:03,@,CIN,4,4,Sun,L 20-23,,25,12,12,1
1291,BUF,2012,2012-09-16,1:02,1:02,,KAN,2,2,Sun,W 35-17,,25,8,15,2
1292,BUF,2013,2013-09-15,1:02,1:02,,CAR,2,2,Sun,W 24-23,,25,9,12,4
1293,BUF,2016,2016-09-25,1:02,1:02,,ARI,3,3,Sun,W 33-18,,25,5,17,3
1294,BUF,2017,2017-10-01,1:00,1:00,@,ATL,4,4,Sun,W 23-17,,25,10,13,2
1295,BUF,2018,2018-11-25,1:00,1:00,,JAX,12,11,Sun,W 24-21,,25,13,6,6
1296,BUF,2020,2020-10-13,7:00,6:00,@,TEN,5,5,Tue,L 16-42,,25,9,14,2
1297,CAR,2001,2001-12-02,1:03,12:03,@,NOR,12,12,Sun,L 23-27,,25,0,0,0
1298,CAR,2002,2002-10-20,1:05,1:05,@,ATL,7,7,Sun,L 0-30,,25,0,0,0
1299,CAR,2002,2002-11-24,1:02,1:02,,ATL,12,11,Sun,L 0-41,,25,0,0,0
1300,CAR,2002,2002-12-08,1:02,1:02,,CIN,14,13,Sun,W 52-31,,25,0,0,0
1301,CAR,2003,2003-09-14,4:05,4:05,@,TAM,2,2,Sun,W 12-9,OT,25,0,0,0
1302,CAR,2007,2007-12-22,8:15,8:15,,DAL,16,15,Sat,L 13-20,,25,0,0,0
1303,CAR,2008,2008-10-26,1:04,1:04,,ARI,8,8,Sun,W 27-23,,25,0,0,0
1304,CAR,2008,2008-11-30,1:02,12:02,@,GNB,13,12,Sun,W 35-31,,25,0,0,0
1305,CAR,2008,2008-12-21,8:23,8:23,@,NYG,16,15,Sun,L 28-34,OT,25,0,0,0
1306,CAR,2010,2010-12-05,4:16,1:16,@,SEA,13,12,Sun,L 14-31,,25,0,0,0
1307,CAR,2012,2012-11-18,1:04,1:04,,TAM,11,10,Sun,L 21-27,OT,25,9,12,4
1308,CAR,2014,2014-09-28,1:02,1:02,@,BAL,4,4,Sun,L 10-38,,25,7,15,3
1309,CAR,2015,2015-10-04,1:03,1:03,@,TAM,4,4,Sun,W 37-23,,25,8,15,2
1310,CAR,2016,2016-10-02,1:04,1:04,@,ATL,4,4,Sun,L 33-48,,25,7,18,0
1311,CAR,2018,2018-09-23,1:00,1:00,,CIN,3,3,Sun,W 31-21,,25,6,18,1
1312,CAR,2018,2018-11-08,8:20,8:20,@,PIT,10,9,Thu,L 21-52,,25,10,14,1
